id,paper,q,marks,section,type_auto,topics_auto,cmd,has_figure,needs,text_preview,correction
9990-2024s-23-q2,P2,q2,2,A,,concept.data_analysis,,,topic_lowconf,2 The results from the study by Andrade (doodling) included ,
9990-2024s-23-q3,P2,q3,2,A,,concept.validity,,,topic_lowconf,3 Describe how one feature of the study by Milgram (obedienc,
9990-2024s-23-q4,P2,q4,4,A,,concept.sampling,,,topic_lowconf,4 One group of participants in the study by Hölzel et al. (m,
9990-2024s-23-q5a,P2,q5a,2,A,,concept.data_analysis,,,topic_lowconf,One strength of using a simulated crime in a laboratory is t,
9990-2024s-23-q5b,P2,q5b,2,A,,,describe,,topic_empty,Describe how one feature of the study by Pozzulo et al. (lin,
9990-2024s-23-q6,P2,q6,6,A,,method.experiment,,,topic_lowconf,"6 Describe the following experimental designs, using any exa",
9990-2024s-23-q7a,P2,q7a,1,A,,method.experiment;concept.data_analysis,outline,,topic_lowconf,Outline what is meant by the term ‘experimental condition’. ,
9990-2024s-23-q7b_i,P2,q7b_i,1,A,,method.experiment;concept.controls;concept.data_analysis,outline,,topic_lowconf,Outline what is meant by the term ‘control condition’.  ....,
9990-2024s-23-q7b_ii,P2,q7b_ii,1,A,,method.experiment;concept.controls,suggest,,topic_lowconf,Suggest a control condition that Yashal could use in her exp,
9990-2024s-23-q7c,P2,q7c,2,A,,method.experiment,,,topic_lowconf,Yashal is planning to use students working at home as partic,
9990-2024s-23-q8a,P2,q8a,3,A,,,suggest,,topic_empty,Suggest one way that the parrots could be taught to enter th,
9990-2024s-23-q8b,P2,q8b,,A,,,,,topic_empty;marks_missing,The success of the procedure can be measured by counting the,
9990-2024s-23-q8b_i,P2,q8b_i,4,A,,,suggest,,topic_empty,Suggest two practical problems with this measurement of succ,
9990-2024s-23-q8b_ii,P2,q8b_ii,,A,,,,,topic_empty;marks_missing,For one of the problems you suggested in part,
9990-2024s-23-q8b_i,P2,q8b_i,2,A,,,,,topic_empty,:    Suggest one way this problem could be solved.    Proble,
9990-2024s-23-q8c,P2,q8c,,A,,,,,topic_empty;marks_missing,There are many members of staff at the rescue centre. The tr,
9990-2024s-23-q8c_i,P2,q8c_i,2,A,,,explain,,topic_empty,Explain one reason why the parrots may learn better if the o,
9990-2024s-23-q8c_ii,P2,q8c_ii,2,A,,,explain,,topic_empty,Explain one reason why the parrots may learn better if the o,
9990-2024s-23-q9a,P2,q9a,2,A,,method.experiment;concept.ethics,suggest,,topic_lowconf,Suggest one reason why conducting a laboratory experiment fo,
9990-2024s-23-q9b,P2,q9b,2,A,,method.experiment;concept.ethics;concept.data_analysis,,Y,topic_lowconf;figure,Faiza decides to use geography students as participants. The,
9990-2024s-23-q9c,P2,q9c,4,A,,method.experiment;concept.variables;concept.controls;concept.ethics,,,topic_lowconf,Faiza is concerned about uncontrolled variables in her study,
9990-2024s-23-q10a,P2,q10a,10,B,,method.correlation;concept.sampling;concept.ethics,describe,,topic_lowconf,Describe how Bhaavik could conduct a correlational study to ,
9990-2024s-23-q10b_i,P2,q10b_i,,B,,concept.evaluating,describe,,marks_missing;topic_lowconf,Describe one practical/methodological strength of the proced,
9990-2024s-23-q10a,P2,q10a,2,B,,concept.sampling,,,topic_lowconf,.    Do not refer to sampling or ethics in your answer.  ...,
9990-2024s-23-q10a_ii,P2,q10a_ii,,B,,concept.evaluating,describe,,marks_missing;topic_lowconf,Describe one practical/methodological weakness of the proced,
9990-2024s-23-q10a,P2,q10a,2,B,,concept.sampling,,,topic_lowconf,.    Do not refer to sampling or ethics in your answer.  ...,
9990-2025s-11-q1a,P1,q1a,1,A,,study.fagen,define,,p1_type_empty,State the number of elephants that successfully passed the t,
9990-2025s-11-q1b_i,P1,q1b_i,1,A,,study.fagen,define,,p1_type_empty,Identify the primary reinforcer used in this study.  .......,
9990-2025s-11-q1b_ii,P1,q1b_ii,1,A,,study.fagen,define,,p1_type_empty,Identify the secondary reinforcer used in this study.  .....,
9990-2025s-11-q1c,P1,q1c,2,A,,study.fagen,outline,,p1_type_empty,Outline the trained behaviour of ‘steady’ as used in this st,
9990-2025s-11-q2a,P1,q2a,2,A,sample,study.perry,outline,Y,figure,Outline the two possible ways that this computerised test co,
9990-2025s-11-q2b,P1,q2b,2,A,sample,study.perry,explain,Y,figure,Explain one weakness of this study in relation to ethics.  .,
9990-2025s-11-q3a,P1,q3a,2,A,,study.saavedra_silverman;debate.use_of_children,,,p1_type_empty,One aim was to investigate the role of disgust in a childhoo,
9990-2025s-11-q5a,P1,q5a,2,A,,approach.biological,outline,,topic_lowconf,Outline one assumption of the biological approach.  ........,
9990-2025s-11-q5b,P1,q5b,,A,,approach.biological,explain,,marks_missing;topic_lowconf,Explain one reason why the study by Hölzel et al. (mindfulne,
9990-2025s-11-q5a,P1,q5a,2,A,,,,,topic_empty,.  .........................................................,
9990-2025s-11-q6a,P1,q6a,3,A,,study.pozzulo,describe,,p1_type_empty,Describe the psychology being investigated in the study by P,
9990-2025s-12-q1a,P1,q1a,1,A,,study.perry,define,,p1_type_empty,Name one other object that was always in the pictures.  ....,
9990-2025s-12-q2a,P1,q2a,2,A,,study.pozzulo,define,,p1_type_empty,Identify two features of the female used as a ‘human face ta,
9990-2025s-12-q3b,P1,q3b,2,A,,study.milgram,outline,,p1_type_empty,Outline one conclusion from this study.  ...................,
9990-2025s-12-q5a,P1,q5a,2,A,,,outline,,topic_empty,Outline one assumption of the learning approach.  ..........,
9990-2025s-12-q5b,P1,q5b,,A,,study.saavedra_silverman,explain,,p1_type_empty;marks_missing,Explain one reason why the study by Saavedra and Silverman (,
9990-2025s-12-q5a,P1,q5a,2,A,,,,,topic_empty,.  .........................................................,
9990-2025s-12-q6a,P1,q6a,3,A,,study.fagen,outline,,p1_type_empty,Outline what is meant by the term ‘positive reinforcement’. ,
9990-2025s-12-q8,P1,q8,4,A,,approach.biological,,,topic_lowconf,"8 Your friend, Rosalia, tells you that she has recently begu",
9990-2025s-12-q9a,P1,q9a,4,B,,study.piliavin,describe,,p1_type_empty,Describe the two victims used in this study.  ..............,
9990-2025s-13-q1a,P1,q1a,1,A,,study.fagen,define,,p1_type_empty,State the number of elephants used in this study.  .........,
9990-2025s-13-q1b,P1,q1b,2,A,,study.fagen,define,,p1_type_empty,Identify two criteria used to select the elephants in this s,
9990-2025s-13-q1c,P1,q1c,2,A,,study.fagen,,,p1_type_empty,Elephants were trained to do a number of behavioural tasks i,
9990-2025s-13-q3a,P1,q3a,2,A,,study.bandura;debate.use_of_children,,,p1_type_empty,One aim was to investigate whether children would reproduce ,
9990-2025s-13-q4,P1,q4,3,A,sample,study.perry,,Y,figure,4 In Experiment 1 in the study by Perry et al. (personal spa,
9990-2025s-13-q5a,P1,q5a,2,A,,approach.social,outline,,topic_lowconf,Outline one assumption of the social approach.  ............,
9990-2025s-13-q5b,P1,q5b,,A,,study.piliavin,explain,,p1_type_empty;marks_missing,Explain one reason why the study by Piliavin et al. (subway ,
9990-2025s-13-q5a,P1,q5a,2,A,,,,,topic_empty,.  .........................................................,
9990-2025s-13-q6a,P1,q6a,3,A,,study.hassett,describe,,p1_type_empty,Describe the psychology being investigated in the study by H,
9990-2025s-13-q7,P1,q7,5,A,,study.milgram,,,p1_type_empty,"7 In the study by Milgram (obedience), a shock generator was",
9990-2025s-13-q9a,P1,q9a,4,B,,approach.biological,describe,,topic_lowconf,Describe the Five Facet Mindfulness Questionnaire (FFMQ) use,
9990-2025s-13-q9b,P1,q9b,8,B,,approach.biological,explain,,topic_lowconf,Explain one similarity and one difference between the study ,
9990-2025s-21-q1a,P2,q1a,2,A,,method.self_report;concept.data_analysis,describe,,topic_lowconf,Describe what is meant by a questionnaire.  ................,
9990-2025s-21-q1b,P2,q1b,2,A,,method.self_report;concept.evaluating,explain,,topic_lowconf,Explain one practical strength of using a questionnaire.  ..,
9990-2025s-21-q2a,P2,q2a,1,A,,concept.ethics,outline,,topic_lowconf,Outline what is meant by ‘consent’.  .......................,
9990-2025s-21-q2b,P2,q2b,2,A,,concept.ethics,suggest,,topic_lowconf,Suggest why obtaining consent would have been important in t,
9990-2025s-21-q3a,P2,q3a,2,A,,,suggest,,topic_empty,Suggest one reason why using participants with dif ferent oc,
9990-2025s-21-q3b,P2,q3b,2,A,,,suggest,,topic_empty,Suggest one reason why using participants with different age,
9990-2025s-21-q4a,P2,q4a,1,A,,concept.data_analysis,define,Y,topic_lowconf;figure,State what the means show about the ages of the two groups. ,
9990-2025s-21-q4b,P2,q4b,1,A,,concept.data_analysis,define,Y,topic_lowconf;figure,State what the standard deviations show about the ages of th,
9990-2025s-21-q5,P2,q5,2,A,,method.case_study;concept.ethics;concept.evaluating,,,topic_lowconf,5 Explain one ethical weakness of the case study research me,
9990-2025s-21-q6,P2,q6,6,A,,concept.sampling,,,topic_lowconf,"6 Describe opportunity sampling and random sampling, using a",
9990-2025s-21-q7a_i,P2,q7a_i,2,A,,concept.types_of_data,suggest,,topic_lowconf,Suggest one way that Dr Smith could produce a quantitative m,
9990-2025s-21-q7a_ii,P2,q7a_ii,,A,,,,,topic_empty;marks_missing,"The two species are very similar, but one is bigger than the",
9990-2025s-21-q7a_i,P2,q7a_i,2,A,,concept.validity,,,topic_lowconf,:    Explain whether this would be valid for both species.  ,
9990-2025s-21-q7b,P2,q7b,,A,,concept.data_analysis,,Y,marks_missing;topic_lowconf;figure,Draw the axes for a graph that could be used to show the res,
9990-2025s-21-q7a_i,P2,q7a_i,3,A,,,,,topic_empty,". You must label the axes.  [3] * 0000800000005 * ,	",
9990-2025s-21-q7c,P2,q7c,2,A,,concept.ethics,suggest,,topic_lowconf,Suggest how Dr Smith could follow one ethical guideline in r,
9990-2025s-21-q8a,P2,q8a,,A,,concept.aims_hypotheses,,,marks_missing;topic_lowconf,Josie will use one of these measures of tidiness: • look at ,
9990-2025s-21-q8a_i,P2,q8a_i,2,A,,concept.aims_hypotheses,explain,,topic_lowconf,Explain one problem about validity or reliability that Josie,
9990-2025s-21-q8a_ii,P2,q8a_ii,2,A,,concept.aims_hypotheses,explain,,topic_lowconf,Explain one problem about ethics that Josie could have with ,
9990-2025s-21-q8b,P2,q8b,,A,,method.correlation;concept.aims_hypotheses,,,marks_missing;topic_lowconf,The hypothesis that Josie is testing is correlational.   Exp,
9990-2025s-21-q8a,P2,q8a,2,A,,method.correlation;concept.aims_hypotheses;concept.data_analysis,,Y,topic_lowconf;figure,is not suitable for Josie to use in her  correlation.  .....,
9990-2025s-21-q8c,P2,q8c,,A,,concept.aims_hypotheses,,,marks_missing;topic_lowconf,Josie’s data shows that students who enjoy lessons more have,
9990-2025s-21-q8c_i,P2,q8c_i,2,A,,method.correlation;concept.aims_hypotheses,explain,,topic_lowconf,Explain what Josie will conclude about her correlation.  ...,
9990-2025s-21-q8c_ii,P2,q8c_ii,2,A,,concept.aims_hypotheses,explain,,topic_lowconf,Explain whether Josie can conclude that having tidier classw,
9990-2025s-21-q9a,P2,q9a,,A,,method.longitudinal,,,marks_missing;topic_lowconf,Dr Gao will need to contact her participants at regular inte,
9990-2025s-21-q9a_i,P2,q9a_i,1,A,,method.longitudinal;concept.data_analysis,,Y,topic_lowconf;figure,"Dr Gao is deciding how often to test her participants, and i",
9990-2025s-21-q9a_ii,P2,q9a_ii,1,A,,method.longitudinal,suggest,,topic_lowconf,Suggest how Dr Gao could contact her participants during the,
9990-2025s-21-q9a_iii,P2,q9a_iii,2,A,,method.longitudinal,suggest,,topic_lowconf,Suggest two problems that Dr Gao may have when trying to con,
9990-2025s-21-q9b,P2,q9b,2,A,,method.longitudinal,,,topic_lowconf,"A colleague, Dr Roberts, says that the study could be conduc",
9990-2025s-21-q10a,P2,q10a,10,B,,method.experiment;concept.sampling;concept.ethics,describe,,topic_lowconf,Describe how Dr Miller could conduct an experiment using an ,
9990-2025s-21-q10b_i,P2,q10b_i,2,B,,concept.ethics,explain,,topic_lowconf,Explain one advantage of using an independent measures desig,
9990-2025s-21-q10b_ii,P2,q10b_ii,2,B,,concept.ethics,explain,,topic_lowconf,Explain one disadvantage of using an independent measures de,
9990-2025s-22-q1,P2,q1,2,A,,concept.variables,,,topic_lowconf,1 Explain how the independent variable (IV) was operationali,
9990-2025s-22-q2a,P2,q2a,1,A,,concept.data_analysis,define,Y,topic_lowconf;figure,Name the type of graph used to display this data.  .........,
9990-2025s-22-q2b,P2,q2b,2,A,,concept.data_analysis,explain,Y,topic_lowconf;figure,Explain why this graph was a suitable way to display this da,
9990-2025s-22-q3a,P2,q3a,,A,,,,,topic_empty;marks_missing,For the example of ‘voltage reached when the participant ref,
9990-2025s-22-q3a_i,P2,q3a_i,1,A,,concept.types_of_data,define,,topic_lowconf,Identify this type of data.  ...............................,
9990-2025s-22-q3a_ii,P2,q3a_ii,1,A,,,define,,topic_empty,State the highest voltage at which all participants obeyed. ,
9990-2025s-22-q3b,P2,q3b,,A,,,,,topic_empty;marks_missing,For the example of ‘comments from the participants’:,
9990-2025s-22-q3b_i,P2,q3b_i,1,A,,concept.types_of_data,define,,topic_lowconf,Identify this type of data.  ...............................,
9990-2025s-22-q3b_ii,P2,q3b_ii,1,A,,,outline,,topic_empty,Outline one of the comments made by a participant in this st,
9990-2025s-22-q3c,P2,q3c,4,A,,concept.types_of_data,suggest,,topic_lowconf,Suggest one strength of each type of data in this study. 1  ,
9990-2025s-22-q4,P2,q4,1,A,,,,,topic_empty,"4 In a study of learning, animals are taught to drop a small",
9990-2025s-22-q5,P2,q5,4,A,,concept.variables,,,topic_lowconf,"5 In some studies, scientific equipment is used to measure v",
9990-2025s-22-q6,P2,q6,6,A,,,,,topic_empty,"6 Describe order effects, using any example(s).  ...........",
9990-2025s-22-q7a_i,P2,q7a_i,1,A,,concept.variables,explain,,topic_lowconf,Explain which one of these is a participant variable.  .....,
9990-2025s-22-q7a_ii,P2,q7a_ii,2,A,,concept.variables,suggest,,topic_lowconf,Suggest how Inma could limit the effect of the participant v,
9990-2025s-22-q7b_i,P2,q7b_i,1,A,,concept.variables,explain,,topic_lowconf,Explain which one of these is a situational variable.  .....,
9990-2025s-22-q7b_ii,P2,q7b_ii,2,A,,concept.variables,suggest,,topic_lowconf,Suggest how Inma could limit the effect of the situational v,
9990-2025s-22-q7c,P2,q7c,,A,,concept.variables,,,marks_missing;topic_lowconf,Inma is also concerned about the effect of social desirabili,
9990-2025s-22-q7c_i,P2,q7c_i,2,A,,concept.variables,suggest,,topic_lowconf,Suggest one way that social desirability could affect Inma’s,
9990-2025s-22-q7c_ii,P2,q7c_ii,2,A,,concept.variables,suggest,,topic_lowconf,Suggest how Inma might reduce the effect of social desirabil,
9990-2025s-22-q8a_i,P2,q8a_i,1,A,,method.self_report,define,,topic_lowconf,State which measure of central tendency Kong should use to a,
9990-2025s-22-q8a_ii,P2,q8a_ii,1,A,,method.self_report,define,,topic_lowconf,State which measure of central tendency Kong should use to a,
9990-2025s-22-q8b,P2,q8b,,A,,method.self_report;concept.ethics,,,marks_missing;topic_lowconf,Kong’s friend says that both of his measures of friendliness,
9990-2025s-22-q8b_i,P2,q8b_i,2,A,,method.self_report;concept.ethics,explain,,topic_lowconf,Explain one reason why timing the duration of eye contact co,
9990-2025s-22-q8b_ii,P2,q8b_ii,,A,,method.self_report;concept.ethics,explain,,marks_missing;topic_lowconf,"Explain one reason why asking participants, ‘Are you excited",
9990-2025s-22-q8b_i,P2,q8b_i,2,A,,method.self_report,,,topic_lowconf,.  .........................................................,
9990-2025s-22-q8c,P2,q8c,2,A,,method.self_report;concept.sampling;concept.data_analysis,,,topic_lowconf,Kong will use opportunity sampling.   Outline what is meant ,
9990-2025s-22-q9a,P2,q9a,2,A,,method.self_report,,,topic_lowconf,There are two techniques for presenting a questionnaire to p,
9990-2025s-22-q9b,P2,q9b,,A,,method.self_report,,,marks_missing;topic_lowconf,For one of the questionnaire techniques that you identified ,
9990-2025s-22-q9a,P2,q9a,2,A,,method.self_report,,,topic_lowconf,:   Suggest one reason why this would be appropriate for Dr ,
9990-2025s-22-q10a,P2,q10a,10,B,,method.correlation;concept.variables;concept.sampling;concept.ethics,describe,,topic_lowconf,Describe how Dr Brent could conduct a study to investigate w,
9990-2025s-22-q10b,P2,q10b,,B,,concept.variables,,,marks_missing;topic_lowconf,For one of the variables you have described in part,
9990-2025s-22-q10a,P2,q10a,4,B,,concept.variables,,,topic_lowconf,:   Explain one practical strength and one practical limitat,
9990-2025s-23-q1a,P2,q1a,1,A,,concept.ethics,outline,,topic_lowconf,Outline the ethical guideline of ‘confidentiality’.  .......,
9990-2025s-23-q1b,P2,q1b,2,A,,concept.ethics,explain,,topic_lowconf,Explain one way that the ethical guideline of confidentialit,
9990-2025s-23-q2a,P2,q2a,1,A,,concept.data_analysis,outline,,topic_lowconf,Outline what is meant by ‘subjectivity’.  ..................,
9990-2025s-23-q2b,P2,q2b,2,A,,,suggest,,topic_empty,Suggest how subjectivity could be a problem when studying pe,
9990-2025s-23-q3a,P2,q3a,3,A,,method.correlation;concept.data_analysis,,Y,topic_lowconf;figure,Sketch a graph to show the results of this study. You must l,
9990-2025s-23-q3b,P2,q3b,4,A,,method.correlation,suggest,,topic_lowconf,Suggest two problems with collecting data about the number o,
9990-2025s-23-q4,P2,q4,2,A,,concept.aims_hypotheses,,,topic_lowconf,"4 An investigation is testing the hypothesis that, ‘intellig",
9990-2025s-23-q5,P2,q5,2,A,,concept.sampling,,,topic_lowconf,"5 In the study by Bandura et al. (aggression), a sample of c",
9990-2025s-23-q6,P2,q6,6,A,,method.self_report,,,topic_lowconf,6 Describe structured interviews and semi-structured intervi,
9990-2025s-23-q7,P2,q7,,A,,method.case_study,,,marks_missing;topic_lowconf,"7 Dr Jones is conducting a case study of a man, Kevan, who h",
9990-2025s-23-q10a,P2,q10a,2,A,,method.self_report,suggest,,topic_lowconf,Suggest two questions that Dr Jones could use in a self-repo,
9990-2025s-23-q10b,P2,q10b,,A,,method.self_report,,,marks_missing;topic_lowconf,Dr Jones wants to investigate whether Kevan has changed in a,
9990-2025s-23-q10b_i,P2,q10b_i,2,A,,,suggest,,topic_empty,Suggest two changes in Kevan that his friends could observe.,
9990-2025s-23-q10b_ii,P2,q10b_ii,,A,,,explain,,topic_empty;marks_missing,Explain why one of the changes that you suggested in part,
9990-2025s-23-q10b_i,P2,q10b_i,2,A,,,,,topic_empty,would be dif ficult to  investigate.  ......................,
9990-2025s-23-q10c,P2,q10c,,A,,method.self_report,,,marks_missing;topic_lowconf,Dr Jones has several different questions on his self-report ,
9990-2025s-23-q10c_i,P2,q10c_i,1,A,,concept.reliability,explain,,topic_lowconf,Explain which problem relates to reliability.  .............,
9990-2025s-23-q10c_ii,P2,q10c_ii,1,A,,concept.validity,explain,,topic_lowconf,Explain which problem relates to validity.  ................,
9990-2025s-23-q8a,P2,q8a,2,A,,concept.ethics,explain,,topic_lowconf,Explain why suggestion 1 would make Dr Mohan’s study more et,
9990-2025s-23-q8b,P2,q8b,2,A,,concept.ethics,explain,,topic_lowconf,Explain why suggestion 2 would make Dr Mohan’s study more et,
9990-2025s-23-q9a,P2,q9a,1,A,,method.longitudinal;concept.data_analysis,,Y,topic_lowconf;figure,Kioni is deciding how frequently throughout her participants,
9990-2025s-23-q9b,P2,q9b,2,A,,method.longitudinal,suggest,,topic_lowconf,Suggest one way for Kioni to re-contact her participants eac,
9990-2025s-23-q9c_i,P2,q9c_i,2,A,,method.longitudinal,describe,,topic_lowconf,Describe one way that Kioni could measure personal space.  .,
9990-2025s-23-q9c_ii,P2,q9c_ii,,A,,method.longitudinal,,,marks_missing;topic_lowconf,For the way you described in part,
9990-2025s-23-q9c_i,P2,q9c_i,2,A,,method.longitudinal;concept.evaluating,,,topic_lowconf,:    Suggest one strength of measuring personal space in thi,
9990-2025s-23-q9d,P2,q9d,,A,,method.longitudinal;concept.variables,,,marks_missing;topic_lowconf,Kioni is concerned that there may be variables other than ag,
9990-2025s-23-q9d_i,P2,q9d_i,2,A,,method.longitudinal;concept.variables,suggest,,topic_lowconf,Suggest two variables that could af fect an individual’ s pr,
9990-2025s-23-q9d_ii,P2,q9d_ii,,A,,method.longitudinal;concept.variables,,,marks_missing;topic_lowconf,For one of the variables that you suggested in part,
9990-2025s-23-q9d_i,P2,q9d_i,2,A,,method.longitudinal;concept.variables,,,topic_lowconf,:    Suggest how this variable could affect an individual’s ,
9990-2025s-23-q10a,P2,q10a,10,B,,concept.sampling,describe,,topic_lowconf,Describe how Isla could conduct an ex periment to test wheth,
9990-2025s-23-q10b,P2,q10b,,B,,method.experiment,,,marks_missing;topic_lowconf,For one feature of the experiment you have described in part,
9990-2025s-23-q10a,P2,q10a,,B,,,,,topic_empty;marks_missing,:,
9990-2025s-23-q10a_i,P2,q10a_i,2,B,,concept.sampling,explain,,topic_lowconf,Explain why that feature is a strength of the study.    Do n,
9990-2025s-23-q10a_ii,P2,q10a_ii,2,B,,concept.sampling,explain,,topic_lowconf,Explain how that feature could be a weakness of the study.  ,
9990-2026s-11-q1a,P1,q1a,1,A,,study.dement_kleitman,define,,p1_type_empty,Name the device used to measure brain waves.  ..............,
9990-2026s-11-q1b,P1,q1b,2,A,,study.dement_kleitman,outline,,p1_type_empty,Outline what is meant by an ‘ultradian rhythm’. Include an e,
9990-2026s-11-q3,P1,q3,4,A,,,,,topic_empty,3 A local business wants to introduce activities to help its,
9990-2026s-11-q4a,P1,q4a,3,A,,study.saavedra_silverman,outline,,p1_type_empty,"Outline one assumption of the learning approach, including a",
9990-2026s-11-q6a,P1,q6a,,A,ethical_issues,study.bandura,explain,,marks_missing,Explain whether each ethical guideline below was broken:,
9990-2026s-11-q6a_i,P1,q6a_i,2,A,,study.bandura,,,p1_type_empty,minimising harm  ...........................................,
9990-2026s-11-q7,P1,q7,4,A,,study.hassett;debate.individual_situational,,,p1_type_empty,7 The debate about individual and situational explanations r,
9990-2026s-11-q8,P1,q8,5,A,,study.pozzulo,,,p1_type_empty,8 Describe the background to the study by Pozzulo et al. (li,
9990-2026s-12-q1a,P1,q1a,1,A,,study.hassett,define,,p1_type_empty,Name the other category of toy used.  ......................,
9990-2026s-12-q1b,P1,q1b,2,A,,study.hassett,outline,,p1_type_empty,Outline what is meant by the term ‘play’.  .................,
9990-2026s-12-q1c,P1,q1c,2,A,,study.hassett,outline,,p1_type_empty,Outline one conclusion from this study.  ...................,
9990-2026s-12-q4a,P1,q4a,3,A,,study.baron_cohen,outline,,p1_type_empty,"Outline one assumption of the cognitive approach, including ",
9990-2026s-12-q6a,P1,q6a,,A,ethical_issues,study.saavedra_silverman,explain,,marks_missing,Explain whether each ethical guideline below was broken:,
9990-2026s-12-q6a_ii,P1,q6a_ii,2,A,,study.saavedra_silverman,,,p1_type_empty,minimising harm.  ..........................................,
9990-2026s-12-q7,P1,q7,4,A,,study.pozzulo;debate.individual_situational,,,p1_type_empty,7 The debate about individual and situational explanations r,
9990-2026s-12-q8,P1,q8,5,A,,study.andrade,,,p1_type_empty,8 Describe the background to the study by Andrade (doodling),
9990-2026s-12-q9a,P1,q9a,4,B,sample,approach.biological,,,topic_lowconf,"In the study by Hölzel et al. (mindfulness and brain scans),",
9990-2026s-13-q1a,P1,q1a,1,A,,study.milgram,define,,p1_type_empty,State the maximum level of voltage labelled on the shock gen,
9990-2026s-13-q3,P1,q3,4,A,,study.saavedra_silverman,,,p1_type_empty,3 A local newspaper has published a story about a young boy ,
9990-2026s-13-q4a,P1,q4a,3,A,,study.dement_kleitman,outline,,p1_type_empty,"Outline one assumption of the biological approach, including",
9990-2026s-13-q6a,P1,q6a,,A,ethical_issues,study.piliavin,explain,,marks_missing,Explain whether each ethical guideline below was broken:,
9990-2026s-13-q6a_i,P1,q6a_i,2,A,,study.piliavin,,,p1_type_empty,minimising harm  ...........................................,
9990-2026s-13-q7,P1,q7,4,A,,study.andrade;debate.individual_situational,,,p1_type_empty,7 The debate about individual and situational explanations r,
9990-2026s-13-q8,P1,q8,5,A,,approach.biological,,,topic_lowconf,8 Describe the background to the study by Hölzel et al. (min,
9990-2026s-13-q9a,P1,q9a,4,B,,study.bandura;debate.use_of_children,,,p1_type_empty,"In one part of the study by Bandura et al. (aggression), the",
9990-2026s-21-q1a,P2,q1a,1,A,,concept.data_analysis,outline,,topic_lowconf,Outline what is meant by the ‘aim’ of a study.  ............,
9990-2026s-21-q1b,P2,q1b,2,A,,,describe,,topic_empty,Describe one aim from the study by Saavedra and Silverman (b,
9990-2026s-21-q2,P2,q2,3,A,,,,,topic_empty,"2 In the study by Dement and Kleitman (sleep and dreams), an",
9990-2026s-21-q3a,P2,q3a,1,A,,concept.sampling,define,,topic_lowconf,State one similarity between the sample of adults and the sa,
9990-2026s-21-q3b,P2,q3b,2,A,,concept.sampling,suggest,,topic_lowconf,Suggest one other way that the samples should have been simi,
9990-2026s-21-q4a,P2,q4a,1,A,,concept.validity,define,,topic_lowconf,Define ‘ecological validity’.  .............................,
9990-2026s-21-q4b,P2,q4b,4,A,,concept.validity,explain,,topic_lowconf,Explain two ways that the study by Perry et al. (personal sp,
9990-2026s-21-q5,P2,q5,6,A,,concept.ethics,,,topic_lowconf,5 Describe the following ethical guidelines relating to anim,
9990-2026s-21-q6a,P2,q6a,,A,,method.correlation;concept.variables,,,marks_missing;topic_lowconf,Petra needs to measure laughter.,
9990-2026s-21-q6a_i,P2,q6a_i,2,A,,method.correlation;concept.variables,suggest,,topic_lowconf,Suggest two ways that Petra could measure laughter.  .......,
9990-2026s-21-q6a_ii,P2,q6a_ii,,A,,method.correlation;concept.variables,,,marks_missing;topic_lowconf,For one of the ways you suggested in 6(a),
9990-2026s-21-q6a_i,P2,q6a_i,2,A,,method.correlation;concept.variables,,,topic_lowconf,:    Explain one advantage of this way compared to your othe,
9990-2026s-21-q6b,P2,q6b,,A,,method.correlation;concept.variables,,,marks_missing;topic_lowconf,The results show that there is a positive correlation betwee,
9990-2026s-21-q6b_i,P2,q6b_i,2,A,,method.correlation;concept.variables;concept.data_analysis,,Y,topic_lowconf;figure,Sketch a graph to show these results. You must label the axe,
9990-2026s-21-q6b_ii,P2,q6b_ii,2,A,,method.correlation;concept.variables,,,topic_lowconf,Petra’s colleague says that young people laugh more than old,
9990-2026s-21-q7a,P2,q7a,3,A,,method.self_report,,,topic_lowconf,The researcher plans to give Jilbert a questionnaire to comp,
9990-2026s-21-q7b,P2,q7b,4,A,,method.self_report,,,topic_lowconf,The researcher plans to interview Jilbert’s teacher about hi,
9990-2026s-21-q7c,P2,q7c,2,A,,method.case_study;concept.validity,suggest,,topic_lowconf,Suggest one reason why the information obtained in this stud,
9990-2026s-21-q7d,P2,q7d,2,A,,method.case_study;concept.ethics,suggest,,topic_lowconf,Suggest one ethical problem with this study.  ..............,
9990-2026s-21-q8a,P2,q8a,,A,,method.longitudinal;concept.sampling,,,marks_missing;topic_lowconf,Nolan will use a volunteer sample of 17-year-olds and study ,
9990-2026s-21-q8a_i,P2,q8a_i,1,A,,method.longitudinal;concept.sampling;concept.data_analysis,outline,,topic_lowconf,Outline what is meant by a ‘volunteer sample’.  ............,
9990-2026s-21-q8a_ii,P2,q8a_ii,2,A,,method.longitudinal;concept.sampling,suggest,,topic_lowconf,Suggest one way that Nolan could recruit a volunteer sample ,
9990-2026s-21-q8b,P2,q8b,,A,,method.longitudinal,,,marks_missing;topic_lowconf,Nolan will need to recontact his participants for retesting ,
9990-2026s-21-q8b_i,P2,q8b_i,2,A,,method.longitudinal,suggest,,topic_lowconf,Suggest one way that Nolan could recontact his participants ,
9990-2026s-21-q8b_ii,P2,q8b_ii,2,A,,method.longitudinal,explain,,topic_lowconf,Explain one reason why being unable to recontact participant,
9990-2026s-21-q9a,P2,q9a,10,B,,method.experiment;concept.sampling;concept.ethics,,,topic_lowconf,Gladys is interested in the toy preferences of girls and boy,
